"source","related","count"
"black","coalitions","6"
"black","blackrhetoricsmatter","6"
"black","scholars","6"
"black","value","6"
"black","encouraged","6"
"black","emerging","6"
"black","tells","6"
"black","rhetoric","6"
"black","body","6"
"black","understand","7"
"black","blacklivesmatter","7"
"black","institution","7"
"black","institutionware","7"
"black","ceiwertz","8"
"black","composition","8"
"black","white","8"
"black","cfshrc","8"
"black","people","9"
"black","asks","11"
"black","blackboard","11"
"black","lives","12"
"black","svroundtree","14"
"black","matter","16"
"black","women","16"
