"source","related","count"
"change","reception","6"
"change","sat","6"
"change","students","6"
"change","heidi","6"
"change","humanities","6"
"change","archive","6"
"change","apropos","6"
"change","cudenverclas","6"
"change","wish","6"
"change","5yhzqmdotk","6"
"change","war","6"
"change","long","6"
"change","chtahyyuwo","6"
"change","road","6"
"change","post","6"
"change","oeb","6"
"change","p38","6"
"change","schedule","6"
"change","ethos","6"
"change","wwi","6"
"change","racial","6"
"change","people","6"
"change","classical","6"
"change","popular","6"
"change","audience","6"
"change","ignore","6"
"change","teamrh","6"
"change","know","6"
"change","gra","6"
"change","sonic","6"
"change","discuss","6"
"change","tfkexnwalh","6"
"change","lightbulb","6"
"change","english","6"
"change","i28","6"
"change","movements","6"
"change","medicolegal","6"
"change","voice","6"
"change","case","6"
"change","tweets","6"
"change","beer","6"
"change","puts","6"
"change","finally","6"
"change","8am","6"
"change","climate","6"
"change","awards","6"
"change","keynote","6"
"change","vwfoyxf9y9","6"
"change","closet","6"
"change","capacity","6"
"change","ks0nar1tqb","6"
"change","celebrate","6"
"change","shaping","6"
"change","geek","6"
"change","feminists","6"
"change","freeaccess","6"
"change","louise","6"
"change","ksu","6"
"change","session","6"
"change","later","6"
"change","medical","6"
"change","device","6"
"change","rhetlife","6"
"change","reminders","6"
"change","feeling","6"
"change","engagement","6"
"change","stuck","6"
"change","anthropocene","6"
"change","miss","6"
"change","british","6"
"change","care","6"
"change","ncamookie","6"
"change","lawrence","6"
"change","pobzurstyx","6"
"change","research","6"
"change","activism","6"
"change","myrtle","6"
"change","stevenjlemieux","6"
"change","lucy","6"
"change","articles","6"
"change","food","6"
"change","years","6"
"change","move","6"
"change","appreciate","6"
"change","4vvqglxnli","6"
"change","funny","6"
"change","beach","6"
"change","need","6"
"change","needs","6"
"change","closing","6"
"change","laughternstrife","6"
"change","trip","6"
"change","archives","6"
"change","oeblegacy","6"
"change","across","6"
"change","kudos","6"
"change","notes","6"
"change","sitting","6"
"change","xlkuv6vpsg","6"
"change","forward","7"
"change","media","7"
"change","oswal","7"
"change","cfshrc","7"
"change","might","7"
"change","new","7"
"change","women's","7"
"change","sushil","7"
"change","changed","8"
"change","important","8"
"change","qrm2m0njss","8"
"change","a15","8"
"change","digital","8"
"change","transcript","8"
"change","biggest","8"
"change","thanks","8"
"change","conf","8"
"change","look","8"
"change","writing","8"
"change","rhetoricroadtrip","8"
"change","body","8"
"change","words","8"
"change","rough","8"
"change","betajames","8"
"change","g19","8"
"change","mechanism","8"
"change","agency","8"
"change","story","8"
"change","vote","8"
"change","app","8"
"change","attending","8"
"change","dalekatherine","8"
"change","cameras","8"
"change","half","8"
"change","skxs7z2fb3","8"
"change","making","8"
"change","ahhitt","8"
"change","d14","8"
"change","institutionware","8"
"change","getting","8"
"change","excellent","8"
"change","distinct","8"
"change","address","8"
"change","putting","8"
"change","stable","8"
"change","lack","8"
"change","storify","9"
"change","tomorrow","9"
"change","think","9"
"change","looking","9"
"change","day","9"
"change","together","10"
"change","biennial","10"
"change","kmc","10"
"change","humanity","10"
"change","quoted","10"
"change","last","10"
"change","cloning","10"
"change","issue","10"
"change","material","10"
"change","2018","10"
"change","challenge","10"
"change","latxguerita","10"
"change","next","10"
"change","program","10"
"change","theory","11"
"change","good","11"
"change","epistemological","12"
"change","finished","12"
"change","hope","12"
"change","assault","12"
"change","take","12"
"change","routledge","12"
"change","sexual","12"
"change","comms","12"
"change","help","12"
"change","knight","12"
"change","using","14"
"change","discourse","14"
"change","participating","14"
"change","taking","14"
"change","outsiders","14"
"change","medrhet","14"
"change","wonderful","14"
"change","system","14"
"change","forty","14"
"change","idea","14"
"change","thank","14"
"change","awesome","14"
"change","transportation","14"
"change","disability","14"
"change","info","16"
"change","supersession","16"
"change","feminism","16"
"change","rsaterps","16"
"change","first","16"
"change","place","16"
"change","folks","16"
"change","women","16"
"change","rooms","18"
"change","connecting","18"
"change","users","18"
"change","projector","18"
"change","pro","18"
"change","rsa","18"
"change","mac","18"
"change","talk","18"
"change","changes","18"
"change","screen","18"
"change","podcast","20"
"change","creative","20"
"change","vga","20"
"change","laptop","20"
"change","ready","20"
"change","benjamin's","20"
"change","walter","20"
"change","radio","20"
"change","recording","20"
"change","sessions","20"
"change","live","20"
"change","htt","21"
"change","ibility","22"
"change","caps","22"
"change","meeting","22"
"change","connect","22"
"change","play","22"
"change","hotel","22"
"change","soon","22"
"change","work","22"
"change","rhetorical","23"
"change","shifting","24"
"change","pregnancy","24"
"change","weeks","24"
"change","disclosure","24"
"change","adampnewman89","25"
"change","strategies","25"
"change","social","25"
"change","embodied","26"
"change","public","26"
"change","access","27"
"change","marta","28"
"change","everyone","28"
"change","time","30"
"change","check","30"
"change","many","30"
"change","atlanta","33"
"change","see","34"
"change","ruthieoo","36"
"change","cable","36"
"change","conference","38"
"change","hilton","39"
"change","wifi","40"
"change","teamrhetoric","40"
"change","password","44"
"change","changing","44"
"change","must","44"
"change","great","50"
"change","rhetsoc","62"
"change","rhetorics","64"
"change","panel","73"
"change","rhetoric","85"
"change","rhetandchange","328"
