"source","related","count"
"machine","building","6"
"machine","digital","6"
"machine","agency","6"
"machine","juk4slysih","6"
"machine","case","6"
"machine","hed","6"
"machine","rachaelsullivan","6"
"machine","prevent","6"
"machine","love","6"
"machine","rhetoricians","6"
"machine","involved","6"
"machine","taytweets","6"
"machine","learn","6"
"machine","importance","6"
"machine","approach","6"
"machine","new","6"
"machine","surrounded","6"
"machine","reimagine","6"
"machine","mean","6"
"machine","world","6"
"machine","microsoft","6"
"machine","havin","6"
"machine","situations","6"
"machine","curating","6"
"machine","llscribe","6"
"machine","meta","6"
"machine","ss1","6"
"machine","machinic","7"
"machine","k14","7"
"machine","presenting","8"
"machine","capitalism","8"
"machine","algorithm","8"
"machine","designed","8"
"machine","overstreet","8"
"machine","classify","8"
"machine","test","8"
"machine","matthew","8"
"machine","lraehall","8"
"machine","describes","8"
"machine","ocularcentrism","8"
"machine","future","8"
"machine","else","8"
"machine","great","8"
"machine","propositional","8"
"machine","successfully","8"
"machine","constantly","8"
"machine","facilitating","8"
"machine","online","8"
"machine","explore","8"
"machine","extend","8"
"machine","everyone","8"
"machine","conjectures","8"
"machine","remind","8"
"machine","possibilities","8"
"machine","modern","8"
"machine","tsa","8"
"machine","early","8"
"machine","showing","8"
"machine","gave","8"
"machine","late","8"
"machine","writing","8"
"machine","description","8"
"machine","knowledge","8"
"machine","analyze","8"
"machine","science","8"
"machine","data","10"
"machine","important","10"
"machine","commonplace","10"
"machine","linked","10"
"machine","fun","10"
"machine","today","10"
"machine","join","10"
"machine","facet","10"
"machine","approaches","10"
"machine","training","10"
"machine","teach","10"
"machine","invokes","10"
"machine","reco","10"
"machine","anetv","10"
"machine","scale","10"
"machine","books","10"
"machine","303","10"
"machine","misclanius","10"
"machine","set","10"
"machine","talk","12"
"machine","disabilities","12"
"machine","thing","12"
"machine","binary","12"
"machine","rhetoric's","12"
"machine","universally","12"
"machine","cyborg","12"
"machine","figure","12"
"machine","descriptions","12"
"machine","trust","12"
"machine","panel","12"
"machine","dmlaurette","12"
"machine","people","12"
"machine","reliable","12"
"machine","rejects","12"
"machine","thus","12"
"machine","facial","12"
"machine","discourse","12"
"machine","tasks","12"
"machine","attempts","12"
"machine","progymnasmata","14"
"machine","need","14"
"machine","rhetorical","14"
"machine","notes","14"
"machine","teaching","14"
"machine","b13","16"
"machine","brockoleur","16"
"machine","ethical","18"
"machine","human","18"
"machine","moriahlpurdy","19"
"machine","much","20"
"machine","humility","20"
"machine","h17","24"
"machine","omizorm","26"
"machine","ericsdet","31"
"machine","jamesjbrownjr","38"
"machine","rhetoric","42"
"machine","billhd","50"
"machine","learning","78"
