"source","related","count"
"machine","disabilities","6"
"machine","thing","6"
"machine","binary","6"
"machine","progymnasmata","6"
"machine","rhetoric's","6"
"machine","universally","6"
"machine","cyborg","6"
"machine","figure","6"
"machine","descriptions","6"
"machine","trust","6"
"machine","panel","6"
"machine","dmlaurette","6"
"machine","people","6"
"machine","reliable","6"
"machine","notes","6"
"machine","rejects","6"
"machine","thus","6"
"machine","facial","6"
"machine","discourse","6"
"machine","tasks","6"
"machine","attempts","6"
"machine","talk","7"
"machine","need","7"
"machine","rhetorical","7"
"machine","brockoleur","7"
"machine","teaching","7"
"machine","b13","8"
"machine","human","8"
"machine","moriahlpurdy","9"
"machine","ethical","9"
"machine","much","10"
"machine","humility","10"
"machine","h17","12"
"machine","omizorm","13"
"machine","ericsdet","15"
"machine","jamesjbrownjr","18"
"machine","rhetoric","21"
"machine","billhd","25"
"machine","learning","39"
