"source","related","count"
"medrhet","devices","6"
"medrhet","negotiate","6"
"medrhet","need","6"
"medrhet","p35","6"
"medrhet","tech","6"
"medrhet","research","6"
"medrhet","h12","6"
"medrhet","visible","6"
"medrhet","body","6"
"medrhet","friends","7"
"medrhet","rhetorical","7"
"medrhet","discusses","7"
"medrhet","twitter","7"
"medrhet","compliance","7"
"medrhet","8am","7"
"medrhet","catherinegouge","7"
"medrhet","exnomination","7"
"medrhet","mental","7"
"medrhet","rhetoric","7"
"medrhet","3ew","7"
"medrhet","consider","7"
"medrhet","important","8"
"medrhet","people","8"
"medrhet","2pm","8"
"medrhet","find","8"
"medrhet","future","8"
"medrhet","ors","8"
"medrhet","greet","8"
"medrhet","may","8"
"medrhet","want","8"
"medrhet","roundtable","8"
"medrhet","womenintc","9"
"medrhet","interdisciplinarity","9"
"medrhet","rhetorics","9"
"medrhet","see","9"
"medrhet","intersectionality","9"
"medrhet","medicine","9"
"medrhet","good","9"
"medrhet","healthcare","9"
"medrhet","join","9"
"medrhet","medicolegal","9"
"medrhet","talks","9"
"medrhet","heidi","10"
"medrhet","community","10"
"medrhet","lawrence","10"
"medrhet","arduser","11"
"medrhet","types","11"
"medrhet","tell","11"
"medrhet","let","11"
"medrhet","5pm","12"
"medrhet","session","13"
"medrhet","sat","13"
"medrhet","feminist","14"
"medrhet","kellerej","14"
"medrhet","lbdehertogh","14"
"medrhet","hope","15"
"medrhet","lobby","15"
"medrhet","learn","15"
"medrhet","work","15"
"medrhet","mariatnovotny","16"
"medrhet","hilton","16"
"medrhet","women","17"
"medrhet","check","18"
"medrhet","talk","18"
"medrhet","meet","20"
"medrhet","health","28"
"medrhet","rachel_bloom","31"
