"source","related","count"
"black","coalitions","6"
"black","blackrhetoricsmatter","6"
"black","scholars","6"
"black","value","6"
"black","encouraged","6"
"black","emerging","6"
"black","tells","6"
"black","rhetoric","6"
"black","body","6"
"black","understand","7"
"black","blacklivesmatter","7"
"black","institution","7"
"black","institutionware","7"
"black","ceiwertz","8"
"black","composition","8"
"black","white","8"
"black","cfshrc","8"
"black","people","9"
"black","asks","11"
"black","lives","12"
"black","svroundtree","14"
"black","matter","16"
"black","women","16"
"invisible","student","6"
"invisible","labor","6"
"invisible","visible","7"
"invisible","whiteness","8"
"invisible","videlais","9"
"invisible","service","13"
"invisible","make","22"
"invisible","hands","22"
"invisible","many","23"
"invisible","i18","25"
"invisible","work","28"
"race","hear","6"
"race","read","6"
"race","classroom","6"
"race","watch","6"
"race","something","6"
"race","memory","6"
"race","gender","7"
"race","ecologies","8"
"race","public","9"
"race","rhetoric","9"
"race","madness","10"
"race","need","11"
"race","traces","12"
"race","begins","13"
"race","powerful","13"
"race","intersections","13"
"race","slide","13"
"race","talk","14"
"race","mental","14"
"race","disability","14"
"race","ruthieoo","16"
"race","latinx","18"
"race","latxguerita","19"
"latinx","south","6"
"latinx","word","8"
"latinx","ask","8"
"latinx","different","8"
"latinx","meanings","8"
"latinx","use","8"
"latinx","community","8"
"latinx","activists","8"
"latinx","loca","8"
"latinx","madness","10"
"latinx","talk","13"
"latinx","slide","13"
"latinx","begins","13"
"latinx","intersections","13"
"latinx","powerful","13"
"latinx","mental","13"
"latinx","disability","21"
"latinx","ruthieoo","23"
"latinx","latxguerita","26"
"white","jonathanrossing","6"
"white","gun","6"
"white","alwayselizabeth","7"
"white","good","7"
"white","question","8"
"white","prithaprasad","9"
"white","non","10"
"white","invisible","13"
"white","whiteness","21"
