"source","related","count"
"public","remillard","6"
"public","i18","6"
"public","rhetsciexplorer","6"
"public","frequency","6"
"public","attached","6"
"public","blackness","6"
"public","'form","6"
"public","asking","6"
"public","racial","6"
"public","images","6"
"public","popular","6"
"public","stranger","6"
"public","culprits","6"
"public","community","6"
"public","digital","6"
"public","victims","6"
"public","lynching","6"
"public","analysis","6"
"public","conflict","6"
"public","many","6"
"public","joke","6"
"public","police","6"
"public","invisible","6"
"public","creating","6"
"public","terms","6"
"public","secondary","6"
"public","show","6"
"public","heightening","6"
"public","colleenderkatch","6"
"public","norms","6"
"public","speaking","6"
"public","sanchez","6"
"public","david","6"
"public","cameras","6"
"public","hartley","6"
"public","habits","6"
"public","discuss","6"
"public","hands","6"
"public","john","6"
"public","talk","6"
"public","mcvey","6"
"public","green","6"
"public","santos","6"
"public","explores","6"
"public","publications","6"
"public","advocacy","6"
"public","injury","6"
"public","reductive","6"
"public","rhet","6"
"public","visible","6"
"public","visibility","6"
"public","great","6"
"public","sphere'","6"
"public","relationality","6"
"public","time","8"
"public","outreach","8"
"public","rhetorical","8"
"public","panel","8"
"public","arst","8"
"public","speech","8"
"public","gas","8"
"public","wellness","8"
"public","service","8"
"public","atl","8"
"public","good","8"
"public","signs","8"
"public","media","8"
"public","natural","8"
"public","low","8"
"public","sense","8"
"public","monster","8"
"public","social","8"
"public","oncomouse","8"
"public","engage","8"
"public","sophist","8"
"public","body","8"
"public","tear","8"
"public","caseyboyle","10"
"public","publics","10"
"public","change","10"
"public","building","12"
"public","hear","12"
"public","james","12"
"public","make","12"
"public","watch","12"
"public","ecologies","12"
"public","classroom","12"
"public","something","12"
"public","high","12"
"public","asks","14"
"public","work","14"
"public","memory","14"
"public","taking","16"
"public","info","16"
"public","folks","16"
"public","freq","16"
"public","health","16"
"public","hilton","16"
"public","awesome","16"
"public","rhetandchange","16"
"public","transportation","16"
"public","circulation","18"
"public","read","18"
"public","race","18"
"public","atlanta","20"
"public","need","20"
"public","writing","20"
"public","system","22"
"public","discourse","30"
"public","marta","32"
"public","rhetoric","32"
