"source","related","count"
"race","line","6"
"race","construction","6"
"race","america","6"
"race","arduser","6"
"race","bodies","6"
"race","approach","6"
"race","f25","6"
"race","points","6"
"race","sanchez","6"
"race","american","6"
"race","medicine","6"
"race","james","6"
"race","overcome","6"
"race","police","6"
"race","attempt","6"
"race","jindal's","6"
"race","explores","6"
"race","prithaprasad","6"
"race","perpetuates","6"
"race","rachaelsullivan","6"
"race","prior","6"
"race","whiteness","6"
"race","violence","7"
"race","rhetgrrrl","7"
"race","2pm","7"
"race","future","7"
"race","ors","7"
"race","body","7"
"race","issues","7"
"race","practices","7"
"race","post","8"
"race","pp4fpjpefk","8"
"race","interested","8"
"race","discourse","8"
"race","cancer","8"
"race","racialized","8"
"race","chastitellez","8"
"race","black","8"
"race","tells","8"
"race","communitie","8"
"race","die","8"
"race","discussion","8"
"race","work","8"
"race","sophist","8"
"race","monster","8"
"race","consider","8"
"race","panel","9"
"race","spanish","9"
"race","david","9"
"race","making","9"
"race","memory","9"
"race","racist","10"
"race","closely","10"
"race","class","10"
"race","1964","10"
"race","roundtable","10"
"race","learn","10"
"race","cases","10"
"race","small","10"
"race","christateston","10"
"race","interdisciplinarity","11"
"race","health","11"
"race","rhetorical","12"
"race","read","12"
"race","watch","12"
"race","classroom","12"
"race","traces","12"
"race","hear","13"
"race","something","13"
"race","racism","14"
"race","look","14"
"race","lynching","14"
"race","ecologies","14"
"race","gender","14"
"race","check","15"
"race","intersectionality","15"
"race","methods","16"
"race","women","17"
"race","madness","20"
"race","racial","21"
"race","public","23"
"race","feminist","24"
"race","intersections","26"
"race","slide","28"
"race","rhetoric","28"
"race","disability","28"
"race","begins","29"
"race","powerful","29"
"race","research","29"
"race","mental","30"
"race","need","31"
"race","talk","32"
"race","ruthieoo","32"
"race","medrhet","33"
"race","latinx","36"
"race","rachelbigeyes","37"
"race","latxguerita","38"
"race","bloom","48"
"race","rachel","58"
"race","race","112"
