"source","related","count"
"race","hear","6"
"race","read","6"
"race","classroom","6"
"race","watch","6"
"race","something","6"
"race","memory","6"
"race","gender","7"
"race","ecologies","8"
"race","public","9"
"race","rhetoric","9"
"race","madness","10"
"race","need","11"
"race","traces","12"
"race","begins","13"
"race","powerful","13"
"race","intersections","13"
"race","slide","13"
"race","talk","14"
"race","mental","14"
"race","disability","14"
"race","ruthieoo","16"
"race","latinx","18"
"race","latxguerita","19"
